turn,noodling_cumulative,baseline_cumulative,noodling_per_turn,baseline_per_turn
1,2850,300,2850,300
2,5700,625,2850,325
3,8550,975,2850,350
4,11400,1350,2850,375
5,14250,1750,2850,400
6,17100,2175,2850,425
7,19950,2625,2850,450
8,22800,3100,2850,475
9,25650,3600,2850,500
10,28500,4125,2850,525
11,31350,4675,2850,550
12,34200,5250,2850,575
13,37050,5850,2850,600
14,39900,6475,2850,625
15,42750,7125,2850,650
16,45600,7800,2850,675
17,48450,8500,2850,700
18,51300,9225,2850,725
19,54150,9975,2850,750
20,57000,10750,2850,775
21,59850,11550,2850,800
22,62700,12375,2850,825
23,65550,13225,2850,850
24,68400,14100,2850,875
25,71250,15000,2850,900
26,74100,15925,2850,925
27,76950,16875,2850,950
28,79800,17850,2850,975
29,82650,18850,2850,1000
30,85500,19875,2850,1025
31,88350,20925,2850,1050
32,91200,22000,2850,1075
33,94050,23100,2850,1100
34,96900,24225,2850,1125
35,99750,25375,2850,1150
36,102600,26550,2850,1175
37,105450,27750,2850,1200
38,108300,28975,2850,1225
39,111150,30225,2850,1250
40,114000,31500,2850,1275
41,116850,32800,2850,1300
42,119700,34125,2850,1325
43,122550,35475,2850,1350
44,125400,36850,2850,1375
45,128250,38250,2850,1400
46,131100,39675,2850,1425
47,133950,41125,2850,1450
48,136800,42600,2850,1475
49,139650,44100,2850,1500
50,142500,45625,2850,1525
51,145350,47175,2850,1550
52,148200,48750,2850,1575
53,151050,50350,2850,1600
54,153900,51975,2850,1625
55,156750,53625,2850,1650
56,159600,55300,2850,1675
57,162450,57000,2850,1700
58,165300,58725,2850,1725
59,168150,60475,2850,1750
60,171000,62250,2850,1775
61,173850,64050,2850,1800
62,176700,65875,2850,1825
63,179550,67725,2850,1850
64,182400,69600,2850,1875
65,185250,71500,2850,1900
66,188100,73425,2850,1925
67,190950,75375,2850,1950
68,193800,77350,2850,1975
69,196650,79350,2850,2000
70,199500,81375,2850,2025
71,202350,83425,2850,2050
72,205200,85500,2850,2075
73,208050,87600,2850,2100
74,210900,89725,2850,2125
75,213750,91875,2850,2150
76,216600,94050,2850,2175
77,219450,96250,2850,2200
78,222300,98475,2850,2225
79,225150,100725,2850,2250
80,228000,103000,2850,2275
81,230850,105300,2850,2300
82,233700,107625,2850,2325
83,236550,109975,2850,2350
84,239400,112350,2850,2375
85,242250,114750,2850,2400
86,245100,117175,2850,2425
87,247950,119625,2850,2450
88,250800,122100,2850,2475
89,253650,124600,2850,2500
90,256500,127125,2850,2525
91,259350,129675,2850,2550
92,262200,132250,2850,2575
93,265050,134850,2850,2600
94,267900,137475,2850,2625
95,270750,140125,2850,2650
96,273600,142800,2850,2675
97,276450,145500,2850,2700
98,279300,148225,2850,2725
99,282150,150975,2850,2750
100,285000,153750,2850,2775
101,287850,156550,2850,2800
102,290700,159375,2850,2825
103,293550,162225,2850,2850
104,296400,165100,2850,2875
105,299250,168000,2850,2900
106,302100,170925,2850,2925
107,304950,173875,2850,2950
108,307800,176850,2850,2975
109,310650,179850,2850,3000
110,313500,182875,2850,3025
111,316350,185925,2850,3050
112,319200,189000,2850,3075
113,322050,192100,2850,3100
114,324900,195225,2850,3125
115,327750,198375,2850,3150
116,330600,201550,2850,3175
117,333450,204750,2850,3200
118,336300,207975,2850,3225
119,339150,211225,2850,3250
120,342000,214500,2850,3275
121,344850,217800,2850,3300
122,347700,221125,2850,3325
123,350550,224475,2850,3350
124,353400,227850,2850,3375
125,356250,231250,2850,3400
126,359100,234675,2850,3425
127,361950,238125,2850,3450
128,364800,241600,2850,3475
129,367650,245100,2850,3500
130,370500,248625,2850,3525
131,373350,252175,2850,3550
132,376200,255750,2850,3575
133,379050,259350,2850,3600
134,381900,262975,2850,3625
135,384750,266625,2850,3650
136,387600,270300,2850,3675
137,390450,274000,2850,3700
138,393300,277725,2850,3725
139,396150,281475,2850,3750
140,399000,285250,2850,3775
141,401850,289050,2850,3800
142,404700,292875,2850,3825
143,407550,296725,2850,3850
144,410400,300600,2850,3875
145,413250,304500,2850,3900
146,416100,308425,2850,3925
147,418950,312375,2850,3950
148,421800,316350,2850,3975
149,424650,320350,2850,4000
150,427500,324375,2850,4025
151,430350,328425,2850,4050
152,433200,332500,2850,4075
153,436050,336600,2850,4100
154,438900,340725,2850,4125
155,441750,344875,2850,4150
156,444600,349050,2850,4175
157,447450,353250,2850,4200
158,450300,357475,2850,4225
159,453150,361725,2850,4250
160,456000,366000,2850,4275
161,458850,370300,2850,4300
162,461700,374625,2850,4325
163,464550,378975,2850,4350
164,467400,383350,2850,4375
165,470250,387750,2850,4400
166,473100,392175,2850,4425
167,475950,396625,2850,4450
168,478800,401100,2850,4475
169,481650,405600,2850,4500
170,484500,410125,2850,4525
171,487350,414675,2850,4550
172,490200,419250,2850,4575
173,493050,423850,2850,4600
174,495900,428475,2850,4625
175,498750,433125,2850,4650
176,501600,437800,2850,4675
177,504450,442500,2850,4700
178,507300,447225,2850,4725
179,510150,451975,2850,4750
180,513000,456750,2850,4775
181,515850,461550,2850,4800
182,518700,466375,2850,4825
183,521550,471225,2850,4850
184,524400,476100,2850,4875
185,527250,481000,2850,4900
186,530100,485925,2850,4925
187,532950,490875,2850,4950
188,535800,495850,2850,4975
189,538650,500850,2850,5000
190,541500,505875,2850,5025
191,544350,510925,2850,5050
192,547200,516000,2850,5075
193,550050,521100,2850,5100
194,552900,526225,2850,5125
195,555750,531375,2850,5150
196,558600,536550,2850,5175
197,561450,541750,2850,5200
198,564300,546975,2850,5225
199,567150,552225,2850,5250
200,570000,557500,2850,5275
201,572850,562800,2850,5300
202,575700,568125,2850,5325
203,578550,573475,2850,5350
204,581400,578850,2850,5375
205,584250,584250,2850,5400
206,587100,589675,2850,5425
207,589950,595125,2850,5450
208,592800,600600,2850,5475
209,595650,606100,2850,5500
210,598500,611625,2850,5525
211,601350,617175,2850,5550
212,604200,622750,2850,5575
213,607050,628350,2850,5600
214,609900,633975,2850,5625
215,612750,639625,2850,5650
216,615600,645300,2850,5675
217,618450,651000,2850,5700
218,621300,656725,2850,5725
219,624150,662475,2850,5750
220,627000,668250,2850,5775
221,629850,674050,2850,5800
222,632700,679875,2850,5825
223,635550,685725,2850,5850
224,638400,691600,2850,5875
225,641250,697500,2850,5900
226,644100,703425,2850,5925
227,646950,709375,2850,5950
228,649800,715350,2850,5975
229,652650,721350,2850,6000
230,655500,727375,2850,6025
231,658350,733425,2850,6050
232,661200,739500,2850,6075
233,664050,745600,2850,6100
234,666900,751725,2850,6125
235,669750,757875,2850,6150
236,672600,764050,2850,6175
237,675450,770250,2850,6200
238,678300,776475,2850,6225
239,681150,782725,2850,6250
240,684000,789000,2850,6275
241,686850,795300,2850,6300
242,689700,801625,2850,6325
243,692550,807975,2850,6350
244,695400,814350,2850,6375
245,698250,820750,2850,6400
246,701100,827175,2850,6425
247,703950,833625,2850,6450
248,706800,840100,2850,6475
249,709650,846600,2850,6500
250,712500,853125,2850,6525
251,715350,859675,2850,6550
252,718200,866250,2850,6575
253,721050,872850,2850,6600
254,723900,879475,2850,6625
255,726750,886125,2850,6650
256,729600,892800,2850,6675
257,732450,899500,2850,6700
258,735300,906225,2850,6725
259,738150,912975,2850,6750
260,741000,919750,2850,6775
261,743850,926550,2850,6800
262,746700,933375,2850,6825
263,749550,940225,2850,6850
264,752400,947100,2850,6875
265,755250,954000,2850,6900
266,758100,960925,2850,6925
267,760950,967875,2850,6950
268,763800,974850,2850,6975
269,766650,981850,2850,7000
270,769500,988875,2850,7025
271,772350,995925,2850,7050
272,775200,1003000,2850,7075
273,778050,1010100,2850,7100
274,780900,1017225,2850,7125
275,783750,1024375,2850,7150
276,786600,1031550,2850,7175
277,789450,1038750,2850,7200
278,792300,1045975,2850,7225
279,795150,1053225,2850,7250
280,798000,1060500,2850,7275
281,800850,1067800,2850,7300
282,803700,1075125,2850,7325
283,806550,1082475,2850,7350
284,809400,1089850,2850,7375
285,812250,1097250,2850,7400
286,815100,1104675,2850,7425
287,817950,1112125,2850,7450
288,820800,1119600,2850,7475
289,823650,1127100,2850,7500
290,826500,1134625,2850,7525
291,829350,1142175,2850,7550
292,832200,1149750,2850,7575
293,835050,1157350,2850,7600
294,837900,1164975,2850,7625
295,840750,1172625,2850,7650
296,843600,1180300,2850,7675
297,846450,1188000,2850,7700
298,849300,1195725,2850,7725
299,852150,1203475,2850,7750
300,855000,1211250,2850,7775
301,857850,1219050,2850,7800
302,860700,1226875,2850,7825
303,863550,1234725,2850,7850
304,866400,1242600,2850,7875
305,869250,1250500,2850,7900
306,872100,1258425,2850,7925
307,874950,1266375,2850,7950
308,877800,1274350,2850,7975
309,880650,1282350,2850,8000
310,883500,1290375,2850,8025
311,886350,1298425,2850,8050
312,889200,1306500,2850,8075
313,892050,1314600,2850,8100
314,894900,1322725,2850,8125
315,897750,1330875,2850,8150
316,900600,1339050,2850,8175
317,903450,1347250,2850,8200
318,906300,1355475,2850,8225
319,909150,1363725,2850,8250
320,912000,1372000,2850,8275
321,914850,1380300,2850,8300
322,917700,1388625,2850,8325
323,920550,1396975,2850,8350
324,923400,1405350,2850,8375
325,926250,1413750,2850,8400
326,929100,1422175,2850,8425
327,931950,1430625,2850,8450
328,934800,1439100,2850,8475
329,937650,1447600,2850,8500
330,940500,1456125,2850,8525
331,943350,1464675,2850,8550
332,946200,1473250,2850,8575
333,949050,1481850,2850,8600
334,951900,1490475,2850,8625
335,954750,1499125,2850,8650
336,957600,1507800,2850,8675
337,960450,1516500,2850,8700
338,963300,1525225,2850,8725
339,966150,1533975,2850,8750
340,969000,1542750,2850,8775
341,971850,1551550,2850,8800
342,974700,1560375,2850,8825
343,977550,1569225,2850,8850
344,980400,1578100,2850,8875
345,983250,1587000,2850,8900
346,986100,1595925,2850,8925
347,988950,1604875,2850,8950
348,991800,1613850,2850,8975
349,994650,1622850,2850,9000
350,997500,1631875,2850,9025
351,1000350,1640925,2850,9050
352,1003200,1650000,2850,9075
353,1006050,1659100,2850,9100
354,1008900,1668225,2850,9125
355,1011750,1677375,2850,9150
356,1014600,1686550,2850,9175
357,1017450,1695750,2850,9200
358,1020300,1704975,2850,9225
359,1023150,1714225,2850,9250
360,1026000,1723500,2850,9275
361,1028850,1732800,2850,9300
362,1031700,1742125,2850,9325
363,1034550,1751475,2850,9350
364,1037400,1760850,2850,9375
365,1040250,1770250,2850,9400
366,1043100,1779675,2850,9425
367,1045950,1789125,2850,9450
368,1048800,1798600,2850,9475
369,1051650,1808100,2850,9500
370,1054500,1817625,2850,9525
371,1057350,1827175,2850,9550
372,1060200,1836750,2850,9575
373,1063050,1846350,2850,9600
374,1065900,1855975,2850,9625
375,1068750,1865625,2850,9650
376,1071600,1875300,2850,9675
377,1074450,1885000,2850,9700
378,1077300,1894725,2850,9725
379,1080150,1904475,2850,9750
380,1083000,1914250,2850,9775
381,1085850,1924050,2850,9800
382,1088700,1933875,2850,9825
383,1091550,1943725,2850,9850
384,1094400,1953600,2850,9875
385,1097250,1963500,2850,9900
386,1100100,1973425,2850,9925
387,1102950,1983375,2850,9950
388,1105800,1993350,2850,9975
389,1108650,2003350,2850,10000
390,1111500,2013375,2850,10025
391,1114350,2023425,2850,10050
392,1117200,2033500,2850,10075
393,1120050,2043600,2850,10100
394,1122900,2053725,2850,10125
395,1125750,2063875,2850,10150
396,1128600,2074050,2850,10175
397,1131450,2084250,2850,10200
398,1134300,2094475,2850,10225
399,1137150,2104725,2850,10250
400,1140000,2115000,2850,10275
401,1142850,2125300,2850,10300
402,1145700,2135625,2850,10325
403,1148550,2145975,2850,10350
404,1151400,2156350,2850,10375
405,1154250,2166750,2850,10400
406,1157100,2177175,2850,10425
407,1159950,2187625,2850,10450
408,1162800,2198100,2850,10475
409,1165650,2208600,2850,10500
410,1168500,2219125,2850,10525
411,1171350,2229675,2850,10550
412,1174200,2240250,2850,10575
413,1177050,2250850,2850,10600
414,1179900,2261475,2850,10625
415,1182750,2272125,2850,10650
416,1185600,2282800,2850,10675
417,1188450,2293500,2850,10700
418,1191300,2304225,2850,10725
419,1194150,2314975,2850,10750
420,1197000,2325750,2850,10775
421,1199850,2336550,2850,10800
422,1202700,2347375,2850,10825
423,1205550,2358225,2850,10850
424,1208400,2369100,2850,10875
425,1211250,2380000,2850,10900
426,1214100,2390925,2850,10925
427,1216950,2401875,2850,10950
428,1219800,2412850,2850,10975
429,1222650,2423850,2850,11000
430,1225500,2434875,2850,11025
431,1228350,2445925,2850,11050
432,1231200,2457000,2850,11075
433,1234050,2468100,2850,11100
434,1236900,2479225,2850,11125
435,1239750,2490375,2850,11150
436,1242600,2501550,2850,11175
437,1245450,2512750,2850,11200
438,1248300,2523975,2850,11225
439,1251150,2535225,2850,11250
440,1254000,2546500,2850,11275
441,1256850,2557800,2850,11300
442,1259700,2569125,2850,11325
443,1262550,2580475,2850,11350
444,1265400,2591850,2850,11375
